<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.01	00:00:00	3120.561	3125.542	3120.227	3124.139	3824	0	160
2025.04.01	00:30:00	3124.138	3127.979	3124.026	3127.188	2849	0	160
2025.04.01	01:00:00	3127.234	3134.664	3126.565	3133.365	10982	0	159
2025.04.01	01:30:00	3133.393	3138.257	3129.806	3135.442	7254	0	159
2025.04.01	02:00:00	3135.386	3143.692	3132.952	3142.603	7151	0	159
2025.04.01	02:30:00	3142.691	3145.702	3140.829	3145.131	7934	0	159
2025.04.01	03:00:00	3145.089	3145.387	3142.598	3144.788	4562	0	159
2025.04.01	03:30:00	3144.836	3147.383	3143.639	3146.028	5074	0	159
2025.04.01	04:00:00	3146.000	3147.947	3142.784	3143.743	3337	0	159
2025.04.01	04:30:00	3143.719	3145.800	3143.250	3144.721	3010	0	159
2025.04.01	05:00:00	3144.666	3145.761	3141.629	3145.165	4398	0	159
2025.04.01	05:30:00	3145.095	3149.059	3130.495	3132.070	9324	0	159
2025.04.01	06:00:00	3132.078	3138.110	3126.488	3136.290	13559	0	159
2025.04.01	06:30:00	3136.249	3138.113	3131.767	3133.728	8676	0	159
2025.04.01	07:00:00	3133.705	3137.699	3130.899	3132.728	6437	0	159
2025.04.01	07:30:00	3132.737	3133.269	3124.073	3127.638	6844	0	159
2025.04.01	08:00:00	3127.594	3135.653	3126.392	3132.385	6480	0	159
2025.04.01	08:30:00	3132.345	3133.899	3129.430	3130.909	3486	0	159
2025.04.01	09:00:00	3130.950	3134.111	3130.077	3132.391	3231	0	159
2025.04.01	09:30:00	3132.355	3133.611	3130.316	3132.344	3539	0	159
2025.04.01	10:00:00	3132.357	3138.997	3130.793	3136.169	5030	0	159
2025.04.01	10:30:00	3136.128	3137.781	3131.842	3132.412	4841	0	159
2025.04.01	11:00:00	3132.374	3135.815	3129.152	3130.775	4654	0	160
2025.04.01	11:30:00	3130.849	3133.635	3128.669	3130.319	4672	0	160
2025.04.01	12:00:00	3130.354	3134.299	3127.689	3133.575	6403	0	159
2025.04.01	12:30:00	3133.617	3134.596	3130.853	3133.235	5031	0	159
2025.04.01	13:00:00	3133.272	3137.100	3128.246	3129.253	8357	0	159
2025.04.01	13:30:00	3129.297	3134.964	3128.182	3133.774	10302	0	159
2025.04.01	14:00:00	3133.783	3135.447	3123.703	3126.941	13244	0	159
2025.04.01	14:30:00	3126.860	3131.637	3124.405	3128.694	10325	0	159
2025.04.01	15:00:00	3128.737	3133.056	3125.658	3126.617	8306	0	159
2025.04.01	15:30:00	3126.618	3127.329	3113.376	3113.725	11470	0	159
2025.04.01	16:00:00	3113.690	3116.808	3100.761	3107.842	15055	0	159
2025.04.01	16:30:00	3107.872	3110.812	3105.181	3106.653	8613	0	159
2025.04.01	17:00:00	3106.690	3114.249	3105.648	3113.917	5868	0	159
2025.04.01	17:30:00	3113.883	3114.515	3112.160	3113.641	3770	0	159
2025.04.01	18:00:00	3113.613	3117.303	3113.289	3116.350	3640	0	159
2025.04.01	18:30:00	3116.448	3118.665	3113.291	3114.183	2997	0	159
2025.04.01	19:00:00	3114.201	3118.410	3113.711	3117.003	2429	0	160
2025.04.01	19:30:00	3117.087	3119.013	3116.401	3118.723	2849	0	159
2025.04.01	20:00:00	3118.681	3119.877	3117.971	3119.611	1319	0	159
2025.04.01	20:30:00	3119.599	3120.794	3113.095	3114.308	2242	0	159
2025.04.01	22:00:00	3114.278	3114.935	3107.742	3111.467	2874	0	159
2025.04.01	22:30:00	3111.456	3113.554	3110.908	3111.381	1930	0	159
2025.04.01	23:00:00	3111.418	3113.956	3111.222	3112.686	1749	0	159
2025.04.01	23:30:00	3112.689	3116.186	3111.281	3115.168	2483	0	159
2025.04.02	00:00:00	3115.160	3121.951	3112.970	3121.533	4533	0	159
2025.04.02	00:30:00	3121.528	3123.761	3120.330	3122.896	3619	0	160
2025.04.02	01:00:00	3122.883	3134.090	3121.338	3133.455	8073	0	159
2025.04.02	01:30:00	3133.479	3135.388	3129.343	3133.162	9065	0	159
2025.04.02	02:00:00	3133.117	3135.703	3130.780	3132.346	5931	0	159
2025.04.02	02:30:00	3132.304	3133.782	3128.534	3128.610	4765	0	159
2025.04.02	03:00:00	3128.581	3132.120	3127.139	3129.323	4153	0	159
2025.04.02	03:30:00	3129.306	3129.391	3124.583	3125.489	3140	0	160
2025.04.02	04:00:00	3125.458	3126.779	3124.111	3124.201	2321	0	160
2025.04.02	04:30:00	3124.195	3124.681	3115.548	3116.192	4421	0	159
2025.04.02	05:00:00	3116.156	3117.907	3112.143	3112.738	4995	0	159
2025.04.02	05:30:00	3112.772	3119.218	3108.623	3117.982	8734	0	159
2025.04.02	06:00:00	3117.982	3119.701	3113.980	3116.414	5376	0	159
2025.04.02	06:30:00	3116.405	3118.998	3114.553	3116.541	3805	0	159
2025.04.02	07:00:00	3116.575	3118.330	3112.176	3116.773	4891	0	160
2025.04.02	07:30:00	3116.772	3126.039	3115.710	3125.314	3419	0	160
2025.04.02	08:00:00	3125.275	3130.207	3123.356	3128.585	4561	0	159
2025.04.02	08:30:00	3128.560	3133.878	3127.980	3131.305	6240	0	159
2025.04.02	09:00:00	3131.257	3131.568	3127.779	3130.677	4400	0	159
2025.04.02	09:30:00	3130.673	3131.458	3126.966	3130.997	3317	0	159
2025.04.02	10:00:00	3131.018	3131.345	3125.716	3126.929	3702	0	159
2025.04.02	10:30:00	3126.971	3127.747	3110.052	3114.412	8098	0	159
2025.04.02	11:00:00	3114.438	3123.889	3114.296	3122.795	5961	0	159
2025.04.02	11:30:00	3122.794	3123.428	3118.896	3121.300	4093	0	159
2025.04.02	12:00:00	3121.242	3126.102	3117.046	3125.803	5142	0	159
