<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.01	00:00:00	3120.561	3127.979	3120.227	3127.188	6673	0	160
2025.04.01	01:00:00	3127.234	3138.257	3126.565	3135.442	18236	0	159
2025.04.01	02:00:00	3135.386	3145.702	3132.952	3145.131	15085	0	159
2025.04.01	03:00:00	3145.089	3147.383	3142.598	3146.028	9636	0	159
2025.04.01	04:00:00	3146.000	3147.947	3142.784	3144.721	6347	0	159
2025.04.01	05:00:00	3144.666	3149.059	3130.495	3132.070	13722	0	159
2025.04.01	06:00:00	3132.078	3138.113	3126.488	3133.728	22235	0	159
2025.04.01	07:00:00	3133.705	3137.699	3124.073	3127.638	13281	0	159
2025.04.01	08:00:00	3127.594	3135.653	3126.392	3130.909	9966	0	159
2025.04.01	09:00:00	3130.950	3134.111	3130.077	3132.344	6770	0	159
2025.04.01	10:00:00	3132.357	3138.997	3130.793	3132.412	9871	0	159
2025.04.01	11:00:00	3132.374	3135.815	3128.669	3130.319	9326	0	160
2025.04.01	12:00:00	3130.354	3134.596	3127.689	3133.235	11434	0	159
2025.04.01	13:00:00	3133.272	3137.100	3128.182	3133.774	18659	0	159
2025.04.01	14:00:00	3133.783	3135.447	3123.703	3128.694	23569	0	159
2025.04.01	15:00:00	3128.737	3133.056	3113.376	3113.725	19776	0	159
2025.04.01	16:00:00	3113.690	3116.808	3100.761	3106.653	23668	0	159
2025.04.01	17:00:00	3106.690	3114.515	3105.648	3113.641	9638	0	159
2025.04.01	18:00:00	3113.613	3118.665	3113.289	3114.183	6637	0	159
2025.04.01	19:00:00	3114.201	3119.013	3113.711	3118.723	5278	0	159
2025.04.01	20:00:00	3118.681	3120.794	3113.095	3114.308	3561	0	159
2025.04.01	22:00:00	3114.278	3114.935	3107.742	3111.381	4804	0	159
2025.04.01	23:00:00	3111.418	3116.186	3111.222	3115.168	4232	0	159
2025.04.02	00:00:00	3115.160	3123.761	3112.970	3122.896	8152	0	159
2025.04.02	01:00:00	3122.883	3135.388	3121.338	3133.162	17138	0	159
2025.04.02	02:00:00	3133.117	3135.703	3128.534	3128.610	10696	0	159
2025.04.02	03:00:00	3128.581	3132.120	3124.583	3125.489	7293	0	159
2025.04.02	04:00:00	3125.458	3126.779	3115.548	3116.192	6742	0	159
2025.04.02	05:00:00	3116.156	3119.218	3108.623	3117.982	13729	0	159
2025.04.02	06:00:00	3117.982	3119.701	3113.980	3116.541	9181	0	159
2025.04.02	07:00:00	3116.575	3126.039	3112.176	3125.314	8310	0	160
2025.04.02	08:00:00	3125.275	3133.878	3123.356	3131.305	10801	0	159
2025.04.02	09:00:00	3131.257	3131.568	3126.966	3130.997	7717	0	159
2025.04.02	10:00:00	3131.018	3131.345	3110.052	3114.412	11800	0	159
2025.04.02	11:00:00	3114.438	3123.889	3114.296	3121.300	10054	0	159
2025.04.02	12:00:00	3121.242	3127.437	3117.046	3122.418	10888	0	159
2025.04.02	13:00:00	3122.377	3132.101	3116.597	3122.316	22505	0	159
2025.04.02	14:00:00	3122.276	3129.390	3119.366	3124.859	13531	0	159
2025.04.02	15:00:00	3124.769	3128.189	3120.814	3125.883	10625	0	159
2025.04.02	16:00:00	3125.837	3134.396	3125.837	3131.470	11378	0	159
2025.04.02	17:00:00	3131.377	3131.420	3120.835	3123.541	9864	0	159
2025.04.02	18:00:00	3123.582	3126.174	3118.666	3121.907	7867	0	159
2025.04.02	19:00:00	3121.874	3127.320	3121.523	3124.397	5855	0	159
2025.04.02	20:00:00	3124.364	3141.774	3104.742	3134.072	49384	0	159
2025.04.02	22:00:00	3130.015	3148.072	3122.557	3145.789	33596	0	159
2025.04.02	23:00:00	3145.821	3167.792	3145.821	3162.712	22290	0	159
2025.04.03	00:00:00	3162.550	3164.812	3140.717	3151.320	31978	0	159
2025.04.03	01:00:00	3151.345	3163.018	3147.902	3153.397	35808	0	159
2025.04.03	02:00:00	3153.422	3155.369	3142.241	3145.192	16997	0	159
2025.04.03	03:00:00	3145.164	3152.207	3144.679	3148.066	16064	0	159
2025.04.03	04:00:00	3148.020	3149.676	3139.107	3140.371	10075	0	159
2025.04.03	05:00:00	3140.425	3141.021	3124.006	3131.888	22045	0	159
2025.04.03	06:00:00	3131.924	3134.131	3116.392	3127.644	25961	0	159
2025.04.03	07:00:00	3127.704	3130.243	3119.805	3128.957	17987	0	159
2025.04.03	08:00:00	3129.011	3132.019	3126.015	3129.009	12073	0	159
2025.04.03	09:00:00	3129.125	3129.560	3121.488	3121.517	15540	0	159
2025.04.03	10:00:00	3121.560	3122.972	3089.215	3095.556	31352	0	159
2025.04.03	11:00:00	3095.619	3100.075	3085.048	3093.188	28988	0	159
2025.04.03	12:00:00	3093.193	3094.780	3061.916	3076.261	35491	0	159
2025.04.03	13:00:00	3076.233	3093.453	3054.052	3086.129	52368	0	159
2025.04.03	14:00:00	3086.644	3135.570	3086.051	3128.939	47187	0	159
2025.04.03	15:00:00	3128.968	3129.563	3103.896	3110.521	32905	0	159
2025.04.03	16:00:00	3110.556	3114.282	3101.799	3107.551	17123	0	159
2025.04.03	17:00:00	3107.528	3109.928	3099.949	3109.500	13320	0	159
2025.04.03	18:00:00	3109.542	3111.722	3102.154	3111.586	8138	0	159
2025.04.03	19:00:00	3111.608	3113.296	3101.532	3107.592	9137	0	159
2025.04.03	20:00:00	3107.567	3119.962	3107.200	3113.145	6837	0	159
2025.04.03	22:00:00	3114.351	3116.719	3112.327	3115.387	4279	0	159
2025.04.03	23:00:00	3115.423	3116.256	3109.757	3112.884	6393	0	159
2025.04.04	00:00:00	3112.908	3115.057	3106.017	3110.553	10090	0	159
2025.04.04	01:00:00	3110.542	3115.817	3109.102	3109.851	10412	0	159
2025.04.04	02:00:00	3109.829	3113.013	3091.159	3096.727	16625	0	159
2025.04.04	03:00:00	3096.691	3099.098	3086.989	3098.481	16559	0	159
2025.04.04	04:00:00	3098.435	3105.014	3095.949	3100.157	10708	0	159
2025.04.04	05:00:00	3100.119	3108.908	3098.822	3108.908	10696	0	159
2025.04.04	06:00:00	3108.882	3109.960	3100.458	3101.051	10838	0	159
2025.04.04	07:00:00	3100.978	3103.473	3091.993	3092.850	17780	0	159
2025.04.04	08:00:00	3092.883	3094.121	3078.420	3084.201	17279	0	159
2025.04.04	09:00:00	3084.175	3095.960	3083.869	3090.725	13989	0	159
2025.04.04	10:00:00	3090.749	3116.206	3090.501	3110.320	29682	0	159
2025.04.04	11:00:00	3110.273	3136.756	3095.552	3110.239	48581	0	159
2025.04.04	12:00:00	3110.248	3111.860	3069.359	3071.138	50199	0	159
2025.04.04	13:00:00	3071.176	3087.424	3059.559	3061.802	47970	0	159
2025.04.04	14:00:00	3061.858	3061.858	3026.903	3038.414	54713	0	159
2025.04.04	15:00:00	3038.438	3050.491	3016.939	3021.951	51704	0	159
2025.04.04	16:00:00	3021.908	3036.782	3017.578	3030.875	29110	0	159
2025.04.04	17:00:00	3030.909	3032.932	3015.593	3025.754	25448	0	159
2025.04.04	18:00:00	3025.714	3027.883	3017.896	3025.483	15137	0	159
2025.04.04	19:00:00	3025.508	3040.925	3021.998	3036.427	19981	0	159
2025.04.04	20:00:00	3036.464	3040.940	3033.840	3038.506	9006	0	159
2025.04.06	22:00:00	3028.686	3032.445	2999.897	3009.937	18226	0	159
2025.04.06	23:00:00	3009.903	3017.165	2977.024	2999.944	28145	0	159
2025.04.07	00:00:00	2999.954	3009.722	2970.689	2978.978	34100	0	159
2025.04.07	01:00:00	2978.935	3055.686	2972.073	3038.425	75935	0	159
