time,Open,High,Low,Close,Volume
2026-03-12 00:50:00,5153.195,5155.749,5152.576,5154.96,584.0
2026-03-12 00:55:00,5154.82,5154.82,5151.84,5152.9,597.0
2026-03-12 01:00:00,5152.861,5166.631,5151.502,5158.819,1782.0
2026-03-12 01:05:00,5158.899,5159.419,5152.212,5156.216,1221.0
2026-03-12 01:10:00,5156.376,5159.142,5153.9,5157.014,950.0
2026-03-12 01:15:00,5157.009,5159.47,5151.562,5158.775,1042.0
2026-03-12 01:20:00,5158.86,5160.824,5155.014,5159.559,841.0
2026-03-12 01:25:00,5159.49,5160.449,5154.542,5157.23,870.0
2026-03-12 01:30:00,5157.236,5159.158,5154.694,5158.033,1083.0
2026-03-12 01:35:00,5157.934,5164.589,5156.295,5163.037,883.0
2026-03-12 01:40:00,5162.925,5170.46,5161.194,5169.546,720.0
2026-03-12 01:45:00,5169.632,5172.842,5167.511,5171.592,774.0
2026-03-12 01:50:00,5171.314,5171.734,5166.899,5167.225,642.0
2026-03-12 01:55:00,5167.443,5168.59,5164.42,5168.425,720.0
2026-03-12 02:00:00,5168.572,5172.987,5167.205,5171.564,574.0
2026-03-12 02:05:00,5171.552,5173.826,5169.069,5173.401,594.0
2026-03-12 02:10:00,5173.427,5174.403,5171.201,5173.883,523.0
2026-03-12 02:15:00,5173.806,5174.25,5170.795,5173.875,755.0
2026-03-12 02:20:00,5173.838,5175.152,5168.62,5169.399,556.0
2026-03-12 02:25:00,5169.495,5172.193,5167.102,5168.235,473.0
2026-03-12 02:30:00,5168.324,5171.421,5164.287,5165.509,687.0
2026-03-12 02:35:00,5165.602,5165.859,5159.649,5160.609,977.0
2026-03-12 02:40:00,5160.692,5161.665,5155.559,5157.514,1086.0
2026-03-12 02:45:00,5157.613,5158.261,5148.587,5150.582,1250.0
2026-03-12 02:50:00,5150.634,5153.993,5145.762,5151.468,1110.0
2026-03-12 02:55:00,5151.393,5154.393,5150.252,5150.633,645.0
2026-03-12 03:00:00,5150.706,5155.325,5148.396,5152.774,774.0
2026-03-12 03:05:00,5152.67,5154.536,5150.586,5152.846,651.0
2026-03-12 03:10:00,5152.857,5155.186,5151.876,5153.752,538.0
2026-03-12 03:15:00,5153.677,5153.929,5147.376,5152.328,646.0
2026-03-12 03:20:00,5152.398,5154.859,5151.036,5151.564,629.0
2026-03-12 03:25:00,5151.54,5153.104,5148.885,5151.722,670.0
2026-03-12 03:30:00,5151.807,5153.255,5148.053,5149.649,545.0
2026-03-12 03:35:00,5149.555,5152.206,5148.189,5148.831,513.0
2026-03-12 03:40:00,5148.507,5153.42,5148.507,5152.212,449.0
2026-03-12 03:45:00,5152.493,5153.754,5151.216,5153.286,394.0
2026-03-12 03:50:00,5153.303,5154.193,5152.149,5152.497,370.0
2026-03-12 03:55:00,5152.753,5154.27,5151.934,5152.927,309.0
2026-03-12 04:00:00,5153.009,5153.085,5149.863,5152.7,319.0
2026-03-12 04:05:00,5152.554,5153.162,5151.695,5152.576,260.0
2026-03-12 04:10:00,5152.875,5152.904,5151.653,5152.127,288.0
2026-03-12 04:15:00,5152.225,5153.821,5151.571,5153.42,305.0
2026-03-12 04:20:00,5153.414,5153.512,5150.359,5150.796,398.0
2026-03-12 04:25:00,5150.887,5153.062,5150.116,5152.371,369.0
2026-03-12 04:30:00,5152.372,5152.511,5148.042,5148.362,353.0
2026-03-12 04:35:00,5148.403,5149.785,5144.217,5145.46,595.0
2026-03-12 04:40:00,5145.46,5146.857,5143.763,5143.977,496.0
2026-03-12 04:45:00,5144.005,5146.538,5142.8,5145.422,494.0
2026-03-12 04:50:00,5145.42,5146.174,5142.203,5142.941,411.0
2026-03-12 04:55:00,5142.943,5143.134,5140.408,5142.404,443.0
2026-03-12 05:00:00,5142.67,5145.846,5142.211,5145.138,562.0
2026-03-12 05:05:00,5145.061,5147.04,5141.334,5146.508,603.0
2026-03-12 05:10:00,5146.508,5148.831,5145.082,5146.259,440.0
2026-03-12 05:15:00,5146.333,5148.566,5145.135,5147.116,481.0
2026-03-12 05:20:00,5146.982,5146.993,5141.464,5141.499,504.0
2026-03-12 05:25:00,5141.462,5143.146,5137.024,5142.77,591.0
2026-03-12 05:30:00,5142.887,5149.63,5141.095,5147.336,802.0
2026-03-12 05:35:00,5147.382,5152.32,5146.819,5149.406,689.0
2026-03-12 05:40:00,5149.151,5154.448,5148.259,5153.264,553.0
2026-03-12 05:45:00,5153.263,5156.818,5152.817,5156.408,587.0
2026-03-12 05:50:00,5156.396,5156.542,5151.664,5153.312,500.0
2026-03-12 05:55:00,5153.168,5157.471,5151.881,5154.547,451.0
2026-03-12 06:00:00,5154.55,5157.848,5154.486,5154.868,509.0
2026-03-12 06:05:00,5155.073,5155.476,5152.247,5154.268,522.0
2026-03-12 06:10:00,5154.227,5155.652,5151.589,5154.438,527.0
2026-03-12 06:15:00,5154.299,5154.344,5150.445,5150.782,463.0
2026-03-12 06:20:00,5150.775,5156.033,5147.272,5155.484,518.0
2026-03-12 06:25:00,5155.494,5157.746,5155.461,5156.557,533.0
2026-03-12 06:30:00,5156.477,5162.13,5156.129,5161.1,537.0
2026-03-12 06:35:00,5161.001,5164.426,5159.675,5164.426,502.0
2026-03-12 06:40:00,5164.437,5169.855,5163.27,5168.292,720.0
2026-03-12 06:45:00,5168.382,5170.143,5167.122,5167.985,631.0
2026-03-12 06:50:00,5168.205,5170.199,5166.545,5167.952,595.0
2026-03-12 06:55:00,5168.29,5168.542,5165.035,5165.945,505.0
2026-03-12 07:00:00,5166.263,5167.471,5164.496,5166.222,563.0
2026-03-12 07:05:00,5166.256,5167.784,5165.324,5166.137,398.0
2026-03-12 07:10:00,5166.335,5170.148,5165.922,5169.991,406.0
2026-03-12 07:15:00,5170.106,5170.526,5166.578,5167.191,474.0
2026-03-12 07:20:00,5167.306,5168.502,5165.748,5168.502,459.0
2026-03-12 07:25:00,5168.42,5169.341,5166.342,5168.771,435.0
2026-03-12 07:30:00,5168.766,5173.128,5168.165,5169.963,563.0
2026-03-12 07:35:00,5169.969,5170.787,5168.088,5168.466,418.0
2026-03-12 07:40:00,5168.154,5179.626,5168.071,5178.65,673.0
2026-03-12 07:45:00,5178.679,5185.373,5178.395,5179.262,757.0
2026-03-12 07:50:00,5179.09,5180.272,5176.066,5178.817,487.0
2026-03-12 07:55:00,5178.494,5182.52,5176.938,5181.793,490.0
2026-03-12 08:00:00,5181.901,5189.676,5181.313,5184.476,968.0
2026-03-12 08:05:00,5184.389,5185.587,5181.846,5183.509,656.0
2026-03-12 08:10:00,5183.457,5188.67,5180.729,5181.333,607.0
2026-03-12 08:15:00,5181.297,5184.191,5180.801,5181.835,506.0
2026-03-12 08:20:00,5181.538,5181.922,5178.291,5178.385,568.0
2026-03-12 08:25:00,5178.284,5180.339,5177.103,5177.485,554.0
2026-03-12 08:30:00,5177.407,5181.153,5177.407,5180.818,484.0
2026-03-12 08:35:00,5180.678,5181.786,5179.64,5180.066,439.0
